order_id,user_id,product_id,quantity,order_date,delivery_date,status,total_amount
1001,1,101,1,2023-06-15,2023-06-22,Delivered,1299.99
1002,2,102,2,2023-06-18,2023-06-20,Delivered,59.98
1003,3,103,5,2023-06-20,2023-06-25,Delivered,64.95
1004,4,104,1,2023-06-22,2023-07-01,Delivered,249.99
1005,5,105,1,2023-06-25,2023-07-05,In Transit,599.99
1006,1,106,10,2023-07-01,2023-07-08,Delivered,59.90
1007,6,107,3,2023-07-03,2023-07-10,Delivered,47.97
1008,2,108,1,2023-07-05,2023-07-12,Delivered,349.99
1009,7,109,2,2023-07-08,2023-07-15,Delivered,199.98
1010,8,110,4,2023-07-10,2023-07-17,In Transit,183.96
